#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
29,Atlanta Hawks,11,1,10,0.091,48,88.3,32.6,77.4,42.2,4.8,13.5,35.6,18.2,23.9,76,11.9,25.2,37.1,17.5,18.4,9.2,3.6,6.5,24.9,0.2,-10.4,2000
1,Los Angeles Lakers,9,8,1,0.889,48.6,101.3,37.2,80.3,46.3,4.8,15.7,30.5,22.1,32.7,67.7,12.3,31.2,43.6,22,15.1,9.6,7.4,5,23.7,0.1,8.4,2001
1,Minnesota Timberwolves,9,8,1,0.889,49.1,104.3,40.7,83.4,48.7,4,10.1,39.6,19,23.6,80.7,11,33.4,44.4,27,12.6,7,5.9,4.1,22.6,0,12.2,2001
3,Milwaukee Bucks,7,6,1,0.857,48.7,100.7,36.1,77.3,46.8,8.1,20,40.7,20.3,26.3,77.2,9.4,27.4,36.9,23.4,12.4,10,4.3,3.4,22.4,0,3.1,2001
4,New Jersey Nets,9,7,2,0.778,48,95.1,35.9,85.4,42,4.3,12.6,34.5,19,25.4,74.7,13.7,32.6,46.2,22.4,14.9,7.6,8.1,5.7,21.1,0.1,4.8,2001
4,San Antonio Spurs,9,7,2,0.778,48,102.2,35.7,77.2,46.2,8.6,17.4,49,22.3,31.2,71.5,11.8,29.6,41.3,20.9,13.7,7.1,6.7,4.2,20.2,0,7.3,2001
6,Detroit Pistons,8,6,2,0.75,48,99.1,37,77.6,47.7,8.3,20,41.3,16.9,20.8,81.3,7.3,33.1,40.4,23.8,15.8,8.4,7,3,21.6,0,11.6,2001
7,Sacramento Kings,10,7,3,0.7,48,100.9,38.1,83.9,45.4,4.9,14.6,33.6,19.8,27.4,72.3,13,33.8,46.8,22.7,15.2,8.6,4.7,6,19.4,0.1,8.2,2001
8,Toronto Raptors,11,7,4,0.636,48,96.9,35.5,83.2,42.7,6.9,18.5,37.4,18.9,26.9,70.3,14.7,28,42.7,23.5,15,10.2,8.9,6,23.7,0.2,3.3,2001
9,Boston Celtics,8,5,3,0.625,48,100.9,36.4,83.9,43.4,10.6,24.4,43.6,17.5,23.8,73.7,12.3,30.6,42.9,23.5,12.1,8.3,3.6,5.3,20.1,0,5.3,2001
10,Dallas Mavericks,10,6,4,0.6,48,96.8,36.1,80.8,44.7,5.7,17,33.5,18.9,24.1,78.4,9.2,30.3,39.5,20.5,12.2,6.7,4.8,4.9,19.2,0.2,-1.9,2001
10,Houston Rockets,10,6,4,0.6,49.5,94.2,34.7,80.9,42.9,5.7,17.7,32.2,19.1,25.7,74.3,12.6,32.7,45.3,17.9,13.4,7.3,4.1,4.7,17.1,0.1,2.8,2001
12,Golden State Warriors,11,6,5,0.545,48.5,94.3,34.5,82.7,41.6,3.6,9.8,37,21.7,30.5,71.1,17.6,32.7,50.4,20.5,18.5,7.4,6.5,8.1,22.4,0.2,0.7,2001
12,Portland Trail Blazers,11,6,5,0.545,48,95.5,36.2,79.5,45.5,4.9,15.5,31.6,18.3,23.7,77,11.8,28,39.8,23.1,14.4,8.5,4.6,5.7,22.6,0,1.5,2001
14,Denver Nuggets,10,5,5,0.5,48,96.8,36.9,86.1,42.9,4.8,15.3,31.4,18.2,23.7,76.8,15.1,29.4,44.5,21,11.9,5.6,5.2,6.6,23.1,0.1,0.7,2001
14,Indiana Pacers,12,6,6,0.5,48.8,100.8,37.3,83.8,44.4,5.2,13.8,37.3,21.1,26.1,80.8,12.6,31.4,44,23.8,14.9,8.2,5.6,4.4,23.8,0.2,2.1,2001
14,Los Angeles Clippers,10,5,5,0.5,49,101.7,36.5,80.5,45.3,4.2,11.5,36.5,24.5,30.6,80.1,11.7,31,42.7,20.2,15.8,6.4,7.4,5.8,22.6,0.4,1.9,2001
14,Philadelphia 76ers,10,5,5,0.5,48,86.3,33.1,77.2,42.9,2.7,9.7,27.8,17.4,23,75.7,13.6,30.2,43.8,18.8,16.7,8.1,4,5.7,20.3,0,1.4,2001
18,Orlando Magic,11,5,6,0.455,48.9,102.3,37.1,87.2,42.5,5.5,16.7,33.2,22.5,28.7,78.5,14.5,30.1,44.5,21.4,12.9,7.4,6,6.6,25.1,0.1,2.9,2001
18,Phoenix Suns,11,5,6,0.455,48,98.2,39,83.7,46.6,4.2,12.7,32.9,16,20.5,78.2,11.7,30.7,42.5,23,15.2,9.4,3.7,5.9,23.5,0,1.3,2001
