#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
21,Charlotte Hornets,21,8,13,0.381,48.2,105.5,37.7,84.9,44.4,9.2,25.9,35.5,20.9,28.9,72.3,10.1,36.6,46.7,20.5,13.6,5.8,4.5,4.6,19,23.4,-1.5,2017
21,LA Clippers,21,8,13,0.381,48.2,104.8,38,84.3,45,10.3,29.3,35.3,18.6,24.6,75.4,11,32.2,43.2,20.2,15.6,8.2,4.4,5.3,21.2,22.5,-2.4,2017
23,Brooklyn Nets,22,8,14,0.364,48,109.8,39.3,88.6,44.3,11.9,33.8,35.1,19.4,26.5,73.1,10.5,34.8,45.3,22.5,15.5,7.3,4.1,5.8,21.4,22.2,-3.5,2017
23,Los Angeles Lakers,22,8,14,0.364,48.5,106.3,40.7,88.7,45.9,8.2,26.1,31.5,16.7,23.5,70.8,10.2,36.2,46.5,23,17.3,8.2,5.7,5.3,22.2,20.6,-2.7,2017
25,Phoenix Suns,24,8,16,0.333,48.2,107.1,39.9,89.9,44.3,8.5,25.8,33.1,18.8,25.1,74.9,11.6,35,46.6,19.9,16.5,7.2,5,5.3,22.5,22.6,-8.8,2017
26,Memphis Grizzlies,22,7,15,0.318,48,98.3,35.9,80.4,44.6,9.2,27.2,33.9,17.3,21.8,79.5,7.7,31.5,39.2,21.2,14,7.3,5.4,5.5,22.3,20.9,-3.2,2017
27,Sacramento Kings,23,7,16,0.304,48,95.7,37.3,84.2,44.3,8,20.9,38.3,13,17.5,74.4,9,30,39,20.3,14.7,7.9,4.2,4.2,19.8,19,-10,2017
28,Dallas Mavericks,23,6,17,0.261,48.2,99.8,36.5,84.7,43.1,11.8,33,35.8,15,19.6,76.4,8.6,33.7,42.2,21.3,14.2,6.9,3.5,4.5,20.1,20.3,-3.9,2017
29,Atlanta Hawks,22,5,17,0.227,48,103.3,39.1,85.6,45.6,10.6,27.9,38.2,14.5,18.3,79.1,9.1,31,40.2,23,15.6,9.1,3.8,5.1,20.4,19.7,-5.2,2017
30,Chicago Bulls,21,3,18,0.143,48.2,95.9,36.3,88,41.3,10.9,31.7,34.4,12.3,16.2,75.9,9.5,34.6,44.1,22.2,14.5,7,3.2,4.3,19,16,-11.1,2017
1,Toronto Raptors,24,20,4,0.833,48.4,117.1,44,89.2,49.4,11.7,33.4,35,17.3,21.8,79.7,10.1,35.8,45.9,25.1,15,8,5.5,4.8,22,21,8.8,2018
2,LA Clippers,21,15,6,0.714,48.7,117.5,42,88.7,47.3,9.7,25.3,38.2,24,29.6,81,9.7,37.1,46.8,22.3,14.3,5.9,5.5,6.2,23.1,25.2,5.3,2018
3,Denver Nuggets,22,15,7,0.682,48.2,110.4,41.8,89.9,46.5,10.4,29.9,34.7,16.4,21.9,75.1,12.2,35,47.2,26.5,14.2,8.6,4.9,5.8,21,21.5,7.7,2018
3,Milwaukee Bucks,22,15,7,0.682,48.5,121.4,44.7,91.6,48.8,14.6,40.5,36.1,17.4,22.7,76.4,10,40.5,50.5,27.4,15.4,7,6,4.7,21.1,20.9,10.1,2018
5,Oklahoma City Thunder,21,14,7,0.667,48,111,41.8,93.1,44.9,10.1,32,31.5,17.3,24.2,71.5,13,35.4,48.4,22.4,14.4,10.4,5.7,4.9,22.5,23.1,6.4,2018
5,Philadelphia 76ers,24,16,8,0.667,48.8,114.6,40.5,87.8,46.1,11.2,31.8,35.2,22.5,29.1,77.5,10.3,37.9,48.1,26.7,15.9,6.9,5.5,5,23.3,24.5,2.1,2018
7,Detroit Pistons,20,13,7,0.65,49,111.6,40.4,92.2,43.8,11.3,34.3,33,19.5,26.5,73.5,12.9,34.8,47.7,21.7,14.4,6.9,3.8,5.2,23.7,24.1,2.4,2018
8,Golden State Warriors,24,15,9,0.625,48.4,115.9,43.3,87.9,49.2,11.2,29.6,37.9,18.1,22,82.2,9.9,35.8,45.7,27.6,14.9,7.2,6.3,3.7,22.5,20.6,4.4,2018
9,Memphis Grizzlies,21,13,8,0.619,49,104.9,38.3,83.6,45.8,10.2,27.9,36.8,18,23.7,75.7,7.7,31.8,39.5,24,13.6,9,6,4.7,22.8,22.8,1.8,2018
10,Los Angeles Lakers,22,13,9,0.591,48.2,112.4,43,90.5,47.5,10.1,29.5,34.3,16.2,23,70.4,10,36,46,23.8,16,8.4,6.5,5.3,21.5,21.5,0.7,2018
10,Portland Trail Blazers,22,13,9,0.591,48.2,112.7,41.1,90.5,45.4,11.5,32.2,35.6,19.1,23.3,81.9,12,37.8,49.8,20.5,14.5,6.2,4.5,6,20.5,20.7,1.9,2018
12,Boston Celtics,23,13,10,0.565,48.4,108.5,40.2,90.3,44.5,13,36,35.9,15.1,19.2,78.7,10.3,35.4,45.8,24.9,13.6,8.2,5.2,3.8,21.8,20.4,4.4,2018
12,Indiana Pacers,23,13,10,0.565,48,106.2,41,85.7,47.8,9.5,25,38,14.8,20.3,72.6,8.5,33.7,42.2,24.5,14.9,9.4,5.1,5.9,19.8,19.7,3.5,2018
14,Charlotte Hornets,22,11,11,0.5,48.5,114.7,42.2,91.2,46.2,12.1,33.7,35.9,18.2,22.9,79.6,9.4,34.6,44,24.3,12.6,7.6,5.5,6.6,20.5,21.5,4.3,2018
14,Dallas Mavericks,20,10,10,0.5,48.3,110.7,39.5,85.5,46.2,12.1,33.8,35.9,19.6,26.1,74.9,9.7,34.7,44.3,22.8,16.6,7.8,4.8,4.6,21.2,25.2,1.9,2018
14,Houston Rockets,22,11,11,0.5,48.5,110,38.7,86.1,45,14.6,42.5,34.5,18,24.1,74.4,11,30.4,41.4,21.4,14.5,8.2,6,4.6,23.2,21,0.3,2018
14,Sacramento Kings,22,11,11,0.5,48,114.3,43.7,92,47.5,10.7,27.7,38.5,16.3,23.4,69.6,10.5,34.9,45.4,24.8,15,8.2,4.4,5.5,22.9,22.5,-2.8,2018
