#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
11,Julius Randle,NYK,26,32,20,12,38.8,25.6,8.9,20.6,43.1,2.7,6.6,41.0,5.1,6.2,82.4,0.9,8.3,9.2,6.4,3.5,1.0,0.3,3.3,46.6,16,4,3.0
12,Kyrie Irving,BKN,29,26,16,10,34.3,26.3,9.9,19.9,49.6,2.7,6.9,39.7,3.8,4.0,95.2,0.7,3.9,4.7,6.2,2.4,1.7,0.7,2.4,46.1,6,0,0.7
13,Jayson Tatum,BOS,23,31,16,15,36.0,27.9,9.8,20.7,47.4,3.2,8.2,39.5,5.1,5.8,87.2,1.0,6.8,7.8,4.2,2.8,1.0,0.5,1.9,45.2,9,1,1.9
14,Nikola Vucevic,CHI,30,31,13,18,33.1,21.5,8.8,19.2,46.0,2.3,6.0,37.8,1.5,1.8,82.5,2.3,9.5,11.7,4.0,1.7,0.9,0.8,2.2,44.8,22,1,-2.9
15,Donovan Mitchell,UTA,24,17,13,4,32.1,30.0,10.2,21.5,47.5,3.4,8.6,39.7,6.1,6.9,88.1,0.7,3.4,4.1,4.8,2.2,1.1,0.2,2.1,43.8,0,0,5.9
16,Kevin Durant,BKN,32,16,11,5,29.8,24.5,8.5,15.3,55.7,2.3,4.8,47.4,5.3,5.8,90.3,0.4,6.4,6.8,5.9,3.3,0.7,1.1,1.7,43.6,6,0,7.5
17,Jimmy Butler,MIA,31,27,16,11,33.7,21.5,7.2,13.7,52.7,0.6,2.2,27.1,6.4,7.3,87.9,1.7,4.7,6.5,6.3,2.0,2.0,0.3,1.5,43.5,7,0,2.8
18,Joel Embiid,PHI,27,20,15,5,28.8,26.2,8.4,17.1,49.3,1.0,3.2,31.3,8.4,9.7,86.1,2.3,6.9,9.2,2.2,3.0,0.7,1.3,2.3,43.3,10,0,7.5
19,Damian Lillard,POR,30,30,18,12,35.5,27.3,8.6,18.8,45.8,3.8,9.6,39.8,6.3,6.8,92.2,0.5,3.5,4.0,7.1,2.7,0.8,0.2,1.4,43.2,7,0,4.7
20,Kawhi Leonard,LAC,30,20,15,5,33.7,22.1,8.0,15.8,50.3,1.7,4.4,38.6,4.5,5.0,90.0,1.3,5.5,6.8,5.9,2.1,1.6,0.3,1.5,42.3,4,0,10.4
21,Trae Young,ATL,22,26,17,9,32.6,23.8,7.7,17.4,44.5,1.6,5.7,28.2,6.7,7.3,91.1,0.5,3.2,3.7,9.7,3.8,0.8,0.1,1.4,41.7,12,0,5.6
